generator,sampling_setup,dataset,filter_name,time
qc-inst-7b,t0.2_n128,code_contests,e3s1t,122.23268780000001
qc-inst-7b,t0.2_n128,mbpp,e3s1t,15.580911799999999
qc-inst-7b,t0.2_n128,humaneval,e3s1t,3.7416278000000007
qc-inst-7b,t0.8_n128,code_contests,e3s1t,255.00737659999996
qc-inst-7b,t0.8_n128,mbpp,e3s1t,63.2276874
qc-inst-7b,t0.8_n128,humaneval,e3s1t,20.735394
qc-inst-7b,t0.6_n128,code_contests,e3s1t,235.2140504
qc-inst-7b,t0.6_n128,mbpp,e3s1t,52.535696800000004
qc-inst-7b,t0.6_n128,humaneval,e3s1t,15.0556916
qc-inst-7b,t0.4_n128,code_contests,e3s1t,201.70071560000002
qc-inst-7b,t0.4_n128,mbpp,e3s1t,34.9384332
qc-inst-7b,t0.4_n128,humaneval,e3s1t,9.1004322
qc-inst-7b,t1.0_n128,code_contests,e3s1t,263.31873260000003
qc-inst-7b,t1.0_n128,mbpp,e3s1t,69.269923
qc-inst-7b,t1.0_n128,humaneval,e3s1t,24.638852399999998
qc-inst-500m,t1.0_n128,code_contests,e3s1t,246.87469500000003
qc-inst-500m,t1.0_n128,mbpp,e3s1t,66.12558759999999
qc-inst-500m,t1.0_n128,humaneval,e3s1t,28.107214799999998
qc-inst-3b,t1.0_n128,code_contests,e3s1t,282.0939842
qc-inst-3b,t1.0_n128,mbpp,e3s1t,73.320153
qc-inst-3b,t1.0_n128,humaneval,e3s1t,22.6014744
qc-inst-1_5b,t1.0_n128,code_contests,e3s1t,260.3614248
qc-inst-1_5b,t1.0_n128,mbpp,e3s1t,66.2423372
qc-inst-1_5b,t1.0_n128,humaneval,e3s1t,29.9650934
qc-inst-14b,t1.0_n128,code_contests,e3s1t,246.8477444
qc-inst-14b,t1.0_n128,mbpp,e3s1t,33.6866334
qc-inst-14b,t1.0_n128,humaneval,e3s1t,23.222009000000003
qc-inst-7b,t0.2_n128,code_contests,e3s10t,121.8486674
qc-inst-7b,t0.2_n128,mbpp,e3s10t,48.1320068
qc-inst-7b,t0.2_n128,humaneval,e3s10t,7.800081799999999
qc-inst-7b,t0.8_n128,code_contests,e3s10t,251.8742848
qc-inst-7b,t0.8_n128,mbpp,e3s10t,167.3012342
qc-inst-7b,t0.8_n128,humaneval,e3s10t,40.3813564
qc-inst-7b,t0.6_n128,code_contests,e3s10t,227.7582864
qc-inst-7b,t0.6_n128,mbpp,e3s10t,151.8087486
qc-inst-7b,t0.6_n128,humaneval,e3s10t,31.856793
qc-inst-7b,t0.4_n128,code_contests,e3s10t,202.34321740000001
qc-inst-7b,t0.4_n128,mbpp,e3s10t,106.4990172
qc-inst-7b,t0.4_n128,humaneval,e3s10t,20.636485599999997
qc-inst-7b,t1.0_n128,code_contests,e3s10t,261.90806619999995
qc-inst-7b,t1.0_n128,mbpp,e3s10t,188.8945556
qc-inst-7b,t1.0_n128,humaneval,e3s10t,47.777028200000004
qc-inst-500m,t1.0_n128,code_contests,e3s10t,226.68549160000003
qc-inst-500m,t1.0_n128,mbpp,e3s10t,157.2945092
qc-inst-500m,t1.0_n128,humaneval,e3s10t,51.595999199999994
qc-inst-3b,t1.0_n128,code_contests,e3s10t,274.5412358
qc-inst-3b,t1.0_n128,mbpp,e3s10t,186.65563400000002
qc-inst-3b,t1.0_n128,humaneval,e3s10t,39.5969572
qc-inst-1_5b,t1.0_n128,code_contests,e3s10t,247.42084800000003
qc-inst-1_5b,t1.0_n128,mbpp,e3s10t,162.5376924
qc-inst-1_5b,t1.0_n128,humaneval,e3s10t,52.574980000000004
qc-inst-14b,t1.0_n128,code_contests,e3s10t,257.77387480000004
qc-inst-14b,t1.0_n128,mbpp,e3s10t,107.6759994
qc-inst-14b,t1.0_n128,humaneval,e3s10t,43.8916174
qc-inst-7b,t0.2_n128,code_contests,e3s3t,117.471197
qc-inst-7b,t0.2_n128,mbpp,e3s3t,16.6663626
qc-inst-7b,t0.2_n128,humaneval,e3s3t,3.8764866000000007
qc-inst-7b,t0.8_n128,code_contests,e3s3t,297.44462519999996
qc-inst-7b,t0.8_n128,mbpp,e3s3t,66.9073486
qc-inst-7b,t0.8_n128,humaneval,e3s3t,20.7640228
qc-inst-7b,t0.6_n128,code_contests,e3s3t,233.07445639999997
qc-inst-7b,t0.6_n128,mbpp,e3s3t,55.13086979999999
qc-inst-7b,t0.6_n128,humaneval,e3s3t,14.765416399999998
qc-inst-7b,t0.4_n128,code_contests,e3s3t,212.066423
qc-inst-7b,t0.4_n128,mbpp,e3s3t,38.133016399999995
qc-inst-7b,t0.4_n128,humaneval,e3s3t,9.7679146
qc-inst-7b,t1.0_n128,code_contests,e3s3t,277.36059220000004
qc-inst-7b,t1.0_n128,mbpp,e3s3t,76.08969959999999
qc-inst-7b,t1.0_n128,humaneval,e3s3t,24.8263284
qc-inst-500m,t1.0_n128,code_contests,e3s3t,274.5004156
qc-inst-500m,t1.0_n128,mbpp,e3s3t,67.1636548
qc-inst-500m,t1.0_n128,humaneval,e3s3t,29.637490000000003
qc-inst-3b,t1.0_n128,code_contests,e3s3t,305.2272666
qc-inst-3b,t1.0_n128,mbpp,e3s3t,74.9118106
qc-inst-3b,t1.0_n128,humaneval,e3s3t,21.7788106
qc-inst-1_5b,t1.0_n128,code_contests,e3s3t,245.36859020000003
qc-inst-1_5b,t1.0_n128,mbpp,e3s3t,69.4541262
qc-inst-1_5b,t1.0_n128,humaneval,e3s3t,29.962093399999997
qc-inst-14b,t1.0_n128,code_contests,e3s3t,295.444476
qc-inst-14b,t1.0_n128,mbpp,e3s3t,35.9734512
qc-inst-14b,t1.0_n128,humaneval,e3s3t,23.5469976
qc-inst-7b,t0.2_n128,gsm8k,has_no_lint_errors,121.50738072395325
qc-inst-7b,t0.2_n128,code_contests,has_no_lint_errors,57.33224596977234
qc-inst-7b,t0.2_n128,mbpp,has_no_lint_errors,23.730331420898438
qc-inst-7b,t0.2_n128,humaneval,has_no_lint_errors,10.47622046470642
qc-inst-7b,t0.8_n128,gsm8k,has_no_lint_errors,216.12305150032043
qc-inst-7b,t0.8_n128,code_contests,has_no_lint_errors,95.68756828308105
qc-inst-7b,t0.8_n128,mbpp,has_no_lint_errors,85.36651148796082
qc-inst-7b,t0.8_n128,humaneval,has_no_lint_errors,47.77644839286804
qc-inst-7b,t0.6_n128,gsm8k,has_no_lint_errors,160.6007668018341
qc-inst-7b,t0.6_n128,code_contests,has_no_lint_errors,93.56720142364502
qc-inst-7b,t0.6_n128,mbpp,has_no_lint_errors,70.83241219520569
qc-inst-7b,t0.6_n128,humaneval,has_no_lint_errors,39.10912194252014
qc-inst-7b,t0.4_n128,gsm8k,has_no_lint_errors,430.93517475128175
qc-inst-7b,t0.4_n128,code_contests,has_no_lint_errors,65.85228128433228
qc-inst-7b,t0.4_n128,mbpp,has_no_lint_errors,53.22816367149353
qc-inst-7b,t0.4_n128,humaneval,has_no_lint_errors,25.168167686462404
qc-inst-7b,t1.0_n128,gsm8k,has_no_lint_errors,330.3782883167267
qc-inst-7b,t1.0_n128,code_contests,has_no_lint_errors,80.65527172088623
qc-inst-7b,t1.0_n128,mbpp,has_no_lint_errors,136.82854657173158
qc-inst-7b,t1.0_n128,humaneval,has_no_lint_errors,58.44498119354248
qc-inst-500m,t1.0_n128,gsm8k,has_no_lint_errors,1201.7254601478576
qc-inst-500m,t1.0_n128,code_contests,has_no_lint_errors,86.34134955406189
qc-inst-500m,t1.0_n128,mbpp,has_no_lint_errors,81.96736106872558
qc-inst-500m,t1.0_n128,humaneval,has_no_lint_errors,55.31431450843811
qc-inst-3b,t1.0_n128,gsm8k,has_no_lint_errors,406.4687323093414
qc-inst-3b,t1.0_n128,code_contests,has_no_lint_errors,90.05787706375122
qc-inst-3b,t1.0_n128,mbpp,has_no_lint_errors,100.10938496589661
qc-inst-3b,t1.0_n128,humaneval,has_no_lint_errors,47.10457792282104
qc-inst-1_5b,t1.0_n128,gsm8k,has_no_lint_errors,304.187228679657
qc-inst-1_5b,t1.0_n128,code_contests,has_no_lint_errors,71.74720091819763
qc-inst-1_5b,t1.0_n128,mbpp,has_no_lint_errors,127.06767358779908
qc-inst-1_5b,t1.0_n128,humaneval,has_no_lint_errors,53.48677535057068
qc-inst-14b,t1.0_n128,gsm8k,has_no_lint_errors,1048.3735704421997
qc-inst-14b,t1.0_n128,code_contests,has_no_lint_errors,87.29965596199035
qc-inst-14b,t1.0_n128,mbpp,has_no_lint_errors,51.572580099105835
qc-inst-14b,t1.0_n128,humaneval,has_no_lint_errors,55.684862565994266
qc-inst-7b,t0.2_n128,gsm8k,is_valid_syntax,16.614756727218627
qc-inst-7b,t0.2_n128,code_contests,is_valid_syntax,2.044827604293823
qc-inst-7b,t0.2_n128,mbpp,is_valid_syntax,1.3892168045043944
qc-inst-7b,t0.2_n128,humaneval,is_valid_syntax,3.8280622005462646
qc-inst-7b,t0.8_n128,gsm8k,is_valid_syntax,16.67293252944946
qc-inst-7b,t0.8_n128,code_contests,is_valid_syntax,31.62897720336914
qc-inst-7b,t0.8_n128,mbpp,is_valid_syntax,46.73901028633118
qc-inst-7b,t0.8_n128,humaneval,is_valid_syntax,1.6641883850097656
qc-inst-7b,t0.6_n128,gsm8k,is_valid_syntax,9.045546770095825
qc-inst-7b,t0.6_n128,code_contests,is_valid_syntax,3.101495695114136
qc-inst-7b,t0.6_n128,mbpp,is_valid_syntax,41.470223331451415
qc-inst-7b,t0.6_n128,humaneval,is_valid_syntax,13.089828491210938
qc-inst-7b,t0.4_n128,gsm8k,is_valid_syntax,48.599764060974124
qc-inst-7b,t0.4_n128,code_contests,is_valid_syntax,24.60830149650574
qc-inst-7b,t0.4_n128,mbpp,is_valid_syntax,3.531924104690552
qc-inst-7b,t0.4_n128,humaneval,is_valid_syntax,9.528791522979736
qc-inst-7b,t1.0_n128,gsm8k,is_valid_syntax,24.218426370620726
qc-inst-7b,t1.0_n128,code_contests,is_valid_syntax,28.7909948348999
qc-inst-7b,t1.0_n128,mbpp,is_valid_syntax,5.741449356079102
qc-inst-7b,t1.0_n128,humaneval,is_valid_syntax,20.95632529258728
qc-inst-500m,t1.0_n128,gsm8k,is_valid_syntax,31.106128215789795
qc-inst-500m,t1.0_n128,code_contests,is_valid_syntax,30.54857211112976
qc-inst-500m,t1.0_n128,mbpp,is_valid_syntax,8.032825088500976
qc-inst-500m,t1.0_n128,humaneval,is_valid_syntax,2.475930166244507
qc-inst-3b,t1.0_n128,gsm8k,is_valid_syntax,25.460836315155028
qc-inst-3b,t1.0_n128,code_contests,is_valid_syntax,4.261667728424072
qc-inst-3b,t1.0_n128,mbpp,is_valid_syntax,10.36089997291565
qc-inst-3b,t1.0_n128,humaneval,is_valid_syntax,1.9662835597991943
qc-inst-1_5b,t1.0_n128,gsm8k,is_valid_syntax,37.80497236251831
qc-inst-1_5b,t1.0_n128,code_contests,is_valid_syntax,3.1337340831756593
qc-inst-1_5b,t1.0_n128,mbpp,is_valid_syntax,49.418592643737796
qc-inst-1_5b,t1.0_n128,humaneval,is_valid_syntax,2.2548441886901855
qc-inst-14b,t1.0_n128,gsm8k,is_valid_syntax,32.225106430053714
qc-inst-14b,t1.0_n128,code_contests,is_valid_syntax,3.1342313289642334
qc-inst-14b,t1.0_n128,mbpp,is_valid_syntax,3.9290231227874757
qc-inst-14b,t1.0_n128,humaneval,is_valid_syntax,2.2103482246398927
